Smiles,Name,Names,InChi
N[C@@H]([C@@H](c1ccc(OCC(C)C)cc1)C#N)C(=O)O,IEP,IEP,"InChI=1S/C14H18N2O3/c1-9(2)8-19-11-5-3-10(4-6-11)12(7-15)13(16)14(17)18/h3-6,9,12-13H,8,16H2,1-2H3,(H,17,18)/t12-,13+/m1/s1"
N[C@@H](c1[nH]c(C)c(c1C)Br)C(=O)O,VEQ,VEQ,"InChI=1S/C8H11BrN2O2/c1-3-5(9)4(2)11-7(3)6(10)8(12)13/h6,11H,10H2,1-2H3,(H,12,13)/t6-/m0/s1"
N[C@@H](c1c(C)cc(O)c(C(C)C)c1)C(=O)O,KC3,KC3,"InChI=1S/C12H17NO3/c1-6(2)8-5-9(11(13)12(15)16)7(3)4-10(8)14/h4-6,11,14H,13H2,1-3H3,(H,15,16)/t11-/m0/s1"
N[C@@H](C(=O)CO)C(=O)O,MNI,MNI,"InChI=1S/C4H7NO4/c5-3(4(8)9)2(7)1-6/h3,6H,1,5H2,(H,8,9)/t3-/m0/s1"
N[C@@H](c1ccc2CC[C@@H](C)n12)C(=O)O,G8D,G8D,"InChI=1S/C10H14N2O2/c1-6-2-3-7-4-5-8(12(6)7)9(11)10(13)14/h4-6,9H,2-3,11H2,1H3,(H,13,14)/t6-,9+/m1/s1"
N[C@@H](c1ccc2n1CCC2)C(=O)O,MLB,MLB,"InChI=1S/C9H12N2O2/c10-8(9(12)13)7-4-3-6-2-1-5-11(6)7/h3-4,8H,1-2,5,10H2,(H,12,13)/t8-/m0/s1"
N[C@@H](CSC(C)C)C(=O)O,P54,P54,"InChI=1S/C6H13NO2S/c1-4(2)10-3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m0/s1"
N[C@@H](C(=O)c1ccc(NC(=O)C)cc1)C(=O)O,12S,12S,"InChI=1S/C11H12N2O4/c1-6(14)13-8-4-2-7(3-5-8)10(15)9(12)11(16)17/h2-5,9H,12H2,1H3,(H,13,14)(H,16,17)/t9-/m0/s1"
N[C@@H](C1CCN(C(=O)C(C)(C)n2cncn2)CC1)C(=O)O,DVU,DVU,"InChI=1S/C13H21N5O3/c1-13(2,18-8-15-7-16-18)12(21)17-5-3-9(4-6-17)10(14)11(19)20/h7-10H,3-6,14H2,1-2H3,(H,19,20)/t10-/m0/s1"
N[C@@H](C1CCN(C(=O)Cc2c(C)non2)CC1)C(=O)O,4R8,4R8,"InChI=1S/C12H18N4O4/c1-7-9(15-20-14-7)6-10(17)16-4-2-8(3-5-16)11(13)12(18)19/h8,11H,2-6,13H2,1H3,(H,18,19)/t11-/m0/s1"
N[C@@H](CC(=O)N1CCC[C@H]1CCc1ccncc1)C(=O)O,BDK,BDK,"InChI=1S/C15H21N3O3/c16-13(15(20)21)10-14(19)18-9-1-2-12(18)4-3-11-5-7-17-8-6-11/h5-8,12-13H,1-4,9-10,16H2,(H,20,21)/t12-,13-/m0/s1"
N[C@@H](CC(=O)N1C[C@@](C(=O)NC)(C)OCC1)C(=O)O,2IW,2IW,"InChI=1S/C11H19N3O5/c1-11(10(18)13-2)6-14(3-4-19-11)8(15)5-7(12)9(16)17/h7H,3-6,12H2,1-2H3,(H,13,18)(H,16,17)/t7-,11+/m0/s1"
N[C@@H](CC(=O)N1C[C@H](C(=O)NC)C[N@](CC1)C)C(=O)O,YNI,YNI,"InChI=1S/C12H22N4O4/c1-14-11(18)8-6-15(2)3-4-16(7-8)10(17)5-9(13)12(19)20/h8-9H,3-7,13H2,1-2H3,(H,14,18)(H,19,20)/t8-,9+/m1/s1"
N[C@@H](Cn1c(c2ccccn2)cc2cccnc12)C(=O)O,ZH2,ZH2,"InChI=1S/C15H14N4O2/c16-11(15(20)21)9-19-13(12-5-1-2-6-17-12)8-10-4-3-7-18-14(10)19/h1-8,11H,9,16H2,(H,20,21)/t11-/m0/s1"
N[C@@H](c1ccc(OC(=O)c2cccc(Br)c2)cc1)C(=O)O,EW1,EW1,"InChI=1S/C15H12BrNO4/c16-11-3-1-2-10(8-11)15(20)21-12-6-4-9(5-7-12)13(17)14(18)19/h1-8,13H,17H2,(H,18,19)/t13-/m0/s1"
N[C@@H](COC(C)(C)C)C(=O)O,4EP,4EP,"InChI=1S/C7H15NO3/c1-7(2,3)11-4-5(8)6(9)10/h5H,4,8H2,1-3H3,(H,9,10)/t5-/m0/s1"
N[C@@H]([C@@H](C)OC(C)(C)C)C(=O)O,MNT,MNT,"InChI=1S/C8H17NO3/c1-5(6(9)7(10)11)12-8(2,3)4/h5-6H,9H2,1-4H3,(H,10,11)/t5-,6+/m1/s1"
N[C@@H](CCS(=O)(=O)O)C(=O)O,UCM,UCM,"InChI=1S/C4H9NO5S/c5-3(4(6)7)1-2-11(8,9)10/h3H,1-2,5H2,(H,6,7)(H,8,9,10)/t3-/m0/s1"
N[C@@H](Cc1c2ccc(OC(=O)C)cc2oc(=O)c1)C(=O)O,6EI,6EI,"InChI=1S/C14H13NO6/c1-7(16)20-9-2-3-10-8(4-11(15)14(18)19)5-13(17)21-12(10)6-9/h2-3,5-6,11H,4,15H2,1H3,(H,18,19)/t11-/m0/s1"
N[C@@H](c1n(cc(C)c1C(=O)O)C)C(=O)O,VIE,VIE,"InChI=1S/C9H12N2O4/c1-4-3-11(2)7(5(4)8(12)13)6(10)9(14)15/h3,6H,10H2,1-2H3,(H,12,13)(H,14,15)/t6-/m0/s1"
N[C@@H](CC(CO)(CO)CO)C(=O)O,9D0,9D0,"InChI=1S/C7H15NO5/c8-5(6(12)13)1-7(2-9,3-10)4-11/h5,9-11H,1-4,8H2,(H,12,13)/t5-/m0/s1"
N[C@@H]([C@H]1C(=O)OC(C)(C)O1)C(=O)O,9WB,9WB,"InChI=1S/C7H11NO5/c1-7(2)12-4(6(11)13-7)3(8)5(9)10/h3-4H,8H2,1-2H3,(H,9,10)/t3-,4-/m0/s1"
N[C@@H](c1c(OC)c(cc(c1)C(C)(C)C)C(C)(C)C)C(=O)O,0BM,0BM,"InChI=1S/C17H27NO3/c1-16(2,3)10-8-11(13(18)15(19)20)14(21-7)12(9-10)17(4,5)6/h8-9,13H,18H2,1-7H3,(H,19,20)/t13-/m0/s1"
N[C@@H](c1c(Cl)c2cc(Br)ccc2oc1=O)C(=O)O,06H,06H,"InChI=1S/C11H7BrClNO4/c12-4-1-2-6-5(3-4)8(13)7(11(17)18-6)9(14)10(15)16/h1-3,9H,14H2,(H,15,16)/t9-/m0/s1"
N[C@@H](CCOc1cc(OC)c(cc1)CO)C(=O)O,Z18,Z18,"InChI=1S/C12H17NO5/c1-17-11-6-9(3-2-8(11)7-14)18-5-4-10(13)12(15)16/h2-3,6,10,14H,4-5,7,13H2,1H3,(H,15,16)/t10-/m0/s1"
N[C@@H](Cn1oc(=O)[nH]c1=O)C(=O)O,20O,20O,"InChI=1S/C5H7N3O5/c6-2(3(9)10)1-8-4(11)7-5(12)13-8/h2H,1,6H2,(H,9,10)(H,7,11,12)/t2-/m0/s1"
N[C@@H](Cc1c(C(C)(C)C)o[nH]c1=O)C(=O)O,486,486,"InChI=1S/C10H16N2O4/c1-10(2,3)7-5(8(13)12-16-7)4-6(11)9(14)15/h6H,4,11H2,1-3H3,(H,12,13)(H,14,15)/t6-/m0/s1"
N[C@@H](c1ccc(c2cccc(OC)n2)cc1)C(=O)O,M01,M01,"InChI=1S/C14H14N2O3/c1-19-12-4-2-3-11(16-12)9-5-7-10(8-6-9)13(15)14(17)18/h2-8,13H,15H2,1H3,(H,17,18)/t13-/m0/s1"
N[C@@H](c1sccc1SCC(=O)O)C(=O)O,GXF,GXF,"InChI=1S/C8H9NO4S2/c9-6(8(12)13)7-4(1-2-14-7)15-3-5(10)11/h1-2,6H,3,9H2,(H,10,11)(H,12,13)/t6-/m0/s1"
N[C@@H](c1cc(C(C)(C)C)cc2c1CCC2(C)C)C(=O)O,5QX,5QX,"InChI=1S/C17H25NO2/c1-16(2,3)10-8-12(14(18)15(19)20)11-6-7-17(4,5)13(11)9-10/h8-9,14H,6-7,18H2,1-5H3,(H,19,20)/t14-/m0/s1"
N[C@@H](C(SCc1ccc(C)cc1)(C)C)C(=O)O,DJK,DJK,"InChI=1S/C13H19NO2S/c1-9-4-6-10(7-5-9)8-17-13(2,3)11(14)12(15)16/h4-7,11H,8,14H2,1-3H3,(H,15,16)/t11-/m1/s1"
N[C@@H](c1nc(NC(=O)CSc2n(C)cnn2)sc1)C(=O)O,NYT,NYT,"InChI=1S/C10H12N6O3S2/c1-16-4-12-15-10(16)21-3-6(17)14-9-13-5(2-20-9)7(11)8(18)19/h2,4,7H,3,11H2,1H3,(H,18,19)(H,13,14,17)/t7-/m0/s1"
N[C@@H](C[S@](=O)c1ccccc1C(=O)O)C(=O)O,SRA,SRA,"InChI=1S/C10H11NO5S/c11-7(10(14)15)5-17(16)8-4-2-1-3-6(8)9(12)13/h1-4,7H,5,11H2,(H,12,13)(H,14,15)/t7-,17-/m0/s1"
N[C@@H](c1c(nc(C)[nH]c1=O)O)C(=O)O,JKQ,JKQ,"InChI=1S/C7H9N3O4/c1-2-9-5(11)3(6(12)10-2)4(8)7(13)14/h4H,8H2,1H3,(H,13,14)(H2,9,10,11,12)/t4-/m0/s1"
N[C@@H](c1n(c2[nH]nc(C(=O)OC)n2)ccc1)C(=O)O,LSX,LSX,"InChI=1S/C10H11N5O4/c1-19-9(18)7-12-10(14-13-7)15-4-2-3-5(15)6(11)8(16)17/h2-4,6H,11H2,1H3,(H,16,17)(H,12,13,14)/t6-/m0/s1"
N[C@@H](c1c(C)[nH]c2c(F)cc(Br)cc12)C(=O)O,NJM,NJM,"InChI=1S/C11H10BrFN2O2/c1-4-8(9(14)11(16)17)6-2-5(12)3-7(13)10(6)15-4/h2-3,9,15H,14H2,1H3,(H,16,17)/t9-/m0/s1"
N[C@@H](c1n(c2ccc(C(=O)OCC)cc2)ccc1)C(=O)O,4JQ,4JQ,"InChI=1S/C15H16N2O4/c1-2-21-15(20)10-5-7-11(8-6-10)17-9-3-4-12(17)13(16)14(18)19/h3-9,13H,2,16H2,1H3,(H,18,19)/t13-/m0/s1"
N[C@@H](c1c([nH]c2ccc(C(C)C)cc12)C(C)(C)C)C(=O)O,EY6,EY6,"InChI=1S/C17H24N2O2/c1-9(2)10-6-7-12-11(8-10)13(14(18)16(20)21)15(19-12)17(3,4)5/h6-9,14,19H,18H2,1-5H3,(H,20,21)/t14-/m0/s1"
