Name,Names,Smiles,InChi
Aib,Aib,NC(C)(C)C(=O)O,"InChI=1S/C4H9NO2/c1-4(2,5)3(6)7/h5H2,1-2H3,(H,6,7)"
aMePro,aMePro,N1[C@@](C)(CCC1)C(=O)O,"InChI=1S/C6H11NO2/c1-6(5(8)9)3-2-4-7-6/h7H,2-4H2,1H3,(H,8,9)/t6-/m0/s1"
aMeL,aMeL,N[C@](CC(C)C)(C)C(=O)O,"InChI=1S/C7H15NO2/c1-5(2)4-7(3,8)6(9)10/h5H,4,8H2,1-3H3,(H,9,10)/t7-/m0/s1"
aMeAbu,aMeAbu,NC(CC)(C)C(=O)O,"InChI=1S/C5H11NO2/c1-3-5(2,6)4(7)8/h3,6H2,1-2H3,(H,7,8)"
Hyp,Hyp,N1CC(=O)C[C@H]1C(=O)O,"InChI=1S/C5H7NO3/c7-3-1-4(5(8)9)6-2-3/h4,6H,1-2H2,(H,8,9)/t4-/m0/s1"
Pca,Pca,N1C(=O)CC[C@H]1C(=O)O,"InChI=1S/C5H7NO3/c7-4-2-1-3(6-4)5(8)9/h3H,1-2H2,(H,6,7)(H,8,9)/t3-/m0/s1"
Mse,Mse,N[C@@H](CC[Se]C)C(=O)O,"InChI=1S/C5H11NO2Se/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1"
Orn,Orn,N[C@@H](CCCN)C(=O)O,"InChI=1S/C5H12N2O2/c6-3-1-2-4(7)5(8)9/h4H,1-3,6-7H2,(H,8,9)/t4-/m0/s1"
4Pal,4Pal,N[C@@H](Cc1ccncc1)C(=O)O,"InChI=1S/C8H10N2O2/c9-7(8(11)12)5-6-1-3-10-4-2-6/h1-4,7H,5,9H2,(H,11,12)/t7-/m0/s1"
Abu,Abu,N[C@@](CC)(C)C(=O)O,"InChI=1S/C5H11NO2/c1-3-5(2,6)4(7)8/h3,6H2,1-2H3,(H,7,8)/t5-/m1/s1"
