Model,Target,Split,Valid_N,RMSE,MAE,R2
modeling_data_predict_7,GIPR,Validation,152,0.4612,0.2643,0.7027
modeling_data_predict_7,GLP1R,Validation,190,0.5752,0.3648,0.8167
modeling_data_predict_7,GCGR,Validation,150,0.4613,0.3254,0.9364
modeling_data_predict_7,GIPR,Train,1234,0.3154,0.2112,0.8705
modeling_data_predict_7,GLP1R,Train,1529,0.3907,0.2735,0.9155
modeling_data_predict_7,GCGR,Train,1248,0.3768,0.253,0.9489
modeling_data_predict_7,GIPR,Test,157,0.46,0.2481,0.7809
modeling_data_predict_7,GLP1R,Test,193,0.4801,0.3397,0.8907
modeling_data_predict_7,GCGR,Test,163,0.5366,0.3421,0.8899
modeling_data_predict_27,GIPR,Train,1234,0.3046,0.2094,0.8806
modeling_data_predict_27,GLP1R,Train,1529,0.4062,0.285,0.9108
modeling_data_predict_27,GCGR,Train,1248,0.4143,0.2706,0.9393
modeling_data_predict_27,GIPR,Validation,155,0.501,0.2876,0.5863
modeling_data_predict_27,GLP1R,Validation,192,0.5894,0.3697,0.791
modeling_data_predict_27,GCGR,Validation,156,0.5446,0.3147,0.9006
modeling_data_predict_27,GIPR,Test,154,0.4316,0.2671,0.8161
modeling_data_predict_27,GLP1R,Test,191,0.4335,0.3099,0.9014
modeling_data_predict_27,GCGR,Test,157,0.5221,0.3127,0.8934
modeling_data_predict_29,GIPR,Train,1234,0.2646,0.177,0.9097
modeling_data_predict_29,GLP1R,Train,1529,0.3649,0.2602,0.9281
modeling_data_predict_29,GCGR,Train,1248,0.3312,0.2244,0.9609
modeling_data_predict_29,GIPR,Validation,154,0.2487,0.1849,0.876
modeling_data_predict_29,GLP1R,Validation,193,0.3967,0.2941,0.9124
modeling_data_predict_29,GCGR,Validation,161,0.2935,0.1957,0.9705
modeling_data_predict_29,GIPR,Test,155,0.4115,0.2688,0.8496
modeling_data_predict_29,GLP1R,Test,190,0.4156,0.3097,0.8989
modeling_data_predict_29,GCGR,Test,152,0.4865,0.2903,0.9149
modeling_data_predict_39,GIPR,Train,1234,0.2307,0.1538,0.934
modeling_data_predict_39,GLP1R,Train,1529,0.3105,0.2165,0.9482
modeling_data_predict_39,GCGR,Train,1248,0.2795,0.1936,0.9721
modeling_data_predict_39,GIPR,Test,154,0.3963,0.2327,0.76
modeling_data_predict_39,GLP1R,Test,190,0.4809,0.293,0.8454
modeling_data_predict_39,GCGR,Test,162,0.393,0.2591,0.9485
modeling_data_predict_39,GIPR,Validation,155,0.3126,0.2049,0.8631
modeling_data_predict_39,GLP1R,Validation,193,0.4752,0.3031,0.8861
modeling_data_predict_39,GCGR,Validation,151,0.4462,0.2621,0.9287
modeling_data_predict_40,GIPR,Train,1234,0.273,0.1841,0.901
modeling_data_predict_40,GLP1R,Train,1529,0.3608,0.2507,0.9269
modeling_data_predict_40,GCGR,Train,1248,0.3504,0.2459,0.9562
modeling_data_predict_40,GIPR,Validation,152,0.4178,0.2553,0.827
modeling_data_predict_40,GLP1R,Validation,192,0.4313,0.2935,0.8979
modeling_data_predict_40,GCGR,Validation,156,0.4653,0.3113,0.9122
modeling_data_predict_40,GIPR,Test,157,0.3334,0.2388,0.8587
modeling_data_predict_40,GLP1R,Test,191,0.4497,0.3059,0.9118
modeling_data_predict_40,GCGR,Test,157,0.3949,0.2615,0.9521
