Model,Target,Split,Valid_N,RMSE,MAE,R2
TargetData_split_predict_5,GIPR,Train,1789,0.365,0.255,0.814
TargetData_split_predict_5,GLP1R,Train,2243,0.499,0.347,0.85
TargetData_split_predict_5,GCGR,Train,1770,0.506,0.391,0.924
TargetData_split_predict_5,GIPR,Validation,230,0.352,0.269,0.846
TargetData_split_predict_5,GLP1R,Validation,277,0.553,0.352,0.803
TargetData_split_predict_5,GCGR,Validation,222,0.495,0.378,0.917
TargetData_split_predict_5,GIPR,Test,216,0.376,0.286,0.806
TargetData_split_predict_5,GLP1R,Test,283,0.562,0.355,0.837
TargetData_split_predict_5,GCGR,Test,219,0.522,0.414,0.927
TargetData_split_predict_25,GIPR,Train,1789,0.319,0.222,0.857
TargetData_split_predict_25,GLP1R,Train,2243,0.477,0.351,0.861
TargetData_split_predict_25,GCGR,Train,1770,0.457,0.339,0.938
TargetData_split_predict_25,GIPR,Test,221,0.336,0.242,0.852
TargetData_split_predict_25,GLP1R,Test,282,0.514,0.386,0.864
TargetData_split_predict_25,GCGR,Test,222,0.509,0.349,0.919
TargetData_split_predict_25,GIPR,Validation,225,0.486,0.267,0.717
TargetData_split_predict_25,GLP1R,Validation,278,0.556,0.398,0.828
TargetData_split_predict_25,GCGR,Validation,219,0.511,0.373,0.921
TargetData_split_predict_63,GIPR,Train,1789,0.365,0.257,0.815
TargetData_split_predict_63,GLP1R,Train,2243,0.497,0.352,0.854
TargetData_split_predict_63,GCGR,Train,1770,0.541,0.413,0.914
TargetData_split_predict_63,GIPR,Validation,222,0.361,0.247,0.817
TargetData_split_predict_63,GLP1R,Validation,283,0.529,0.364,0.818
TargetData_split_predict_63,GCGR,Validation,222,0.541,0.427,0.91
TargetData_split_predict_63,GIPR,Test,224,0.461,0.284,0.728
TargetData_split_predict_63,GLP1R,Test,277,0.543,0.369,0.827
TargetData_split_predict_63,GCGR,Test,219,0.574,0.429,0.9
TargetData_split_predict_39,GIPR,Train,1789,0.351,0.249,0.832
TargetData_split_predict_39,GLP1R,Train,2243,0.514,0.373,0.843
TargetData_split_predict_39,GCGR,Train,1770,0.451,0.346,0.939
TargetData_split_predict_39,GIPR,Validation,217,0.417,0.277,0.809
TargetData_split_predict_39,GLP1R,Validation,277,0.644,0.422,0.778
TargetData_split_predict_39,GCGR,Validation,211,0.434,0.34,0.943
TargetData_split_predict_39,GIPR,Test,229,0.378,0.265,0.731
TargetData_split_predict_39,GLP1R,Test,283,0.582,0.415,0.769
TargetData_split_predict_39,GCGR,Test,230,0.502,0.386,0.928
TargetData_split_predict_44,GIPR,Train,1789,0.353,0.245,0.824
TargetData_split_predict_44,GLP1R,Train,2243,0.501,0.359,0.854
TargetData_split_predict_44,GCGR,Train,1770,0.464,0.362,0.936
TargetData_split_predict_44,GIPR,Test,228,0.354,0.264,0.821
TargetData_split_predict_44,GLP1R,Test,280,0.584,0.399,0.757
TargetData_split_predict_44,GCGR,Test,226,0.453,0.36,0.942
TargetData_split_predict_44,GIPR,Validation,218,0.358,0.254,0.858
TargetData_split_predict_44,GLP1R,Validation,280,0.537,0.395,0.824
TargetData_split_predict_44,GCGR,Validation,215,0.479,0.374,0.93
